PLAYER,AGE,TEAM,DATE,TYPE,METHOD,EXTENSION,LENGTH,VALUE,AAV,PG,SG,SF,PF,C,MID SEASON,SEASON
Patty Mills,35,MIA,2024-03-06,Veteran Contract,Minimum Salary Exception,0,1.0,753186.0,753186.0,1,0,0,0,0,True,2023-24
Malik Shake Milton,27,NYK,2024-03-05,Veteran Contract,Minimum Salary Exception,0,1.0,552938.0,552938.0,0,1,0,0,0,True,2023-24
Kelly Olynyk,32,TOR,2024-03-04,Veteran Extension,Bird Exception,1,2.0,26250000.0,13125000.0,0,0,0,1,1,True,2023-24
Kendall Brown,20,IND,2024-03-03,Veteran Contract,Room-MLE,0,2.5,5522270.0,1840757.0,0,1,1,0,0,True,2023-24
A.J. Lawson,23,DAL,2024-03-03,Veteran Contract,MLE,0,4.0,7912022.0,1978006.0,0,1,0,0,0,True,2023-24
Mike Muscala,32,OKC,2024-03-02,Veteran Contract,Minimum Salary Exception,0,1.0,808297.0,808297.0,0,0,0,1,1,True,2023-24
Dominick Barlow,20,SAS,2024-03-02,Veteran Contract,Minimum Salary Exception,0,1.0,465975.0,465975.0,0,0,0,1,1,True,2023-24
Eugene Omoruyi,27,WAS,2024-03-01,Veteran Contract,MLE,0,2.0,3096970.0,1548485.0,0,0,1,0,0,True,2023-24
Trent Forrest,25,ATL,2024-02-29,Veteran Contract,Minimum Salary Exception,0,1.0,553151.0,553151.0,1,1,0,0,0,True,2023-24
Aleksej Pokusevski,22,CHA,2024-02-28,Veteran Contract,Minimum Salary Exception,0,2.0,2838428.0,1419214.0,0,0,0,1,1,True,2023-24
Stanley Umude,24,DET,2024-02-23,Veteran Contract,Minimum Salary Exception,0,2.0,2659153.0,1329577.0,0,1,0,0,0,True,2023-24
Lester Quinones,23,GSW,2024-02-22,Veteran Contract,Minimum Salary Exception,0,1.0,548815.0,548815.0,0,1,0,0,0,True,2023-24
Mike Conley,36,MIN,2024-02-22,Veteran Extension,Bird Exception,1,2.0,20750000.0,10375000.0,1,0,0,0,0,True,2023-24
Thaddeus Young,35,PHX,2024-02-20,Veteran Contract,Minimum Salary Exception,0,1.0,1010371.0,1010371.0,0,0,0,1,0,True,2023-24
Delon Wright,31,MIA,2024-02-18,Veteran Contract,Minimum Salary Exception,0,1.0,947205.0,947205.0,1,1,0,0,0,True,2023-24
Danilo Gallinari,35,MIL,2024-02-18,Veteran Contract,Minimum Salary Exception,0,1.0,1047112.0,1047112.0,0,0,1,1,0,True,2023-24
Jeremiah Robinson-Earl,23,NOP,2024-02-16,Veteran Contract,Minimum Salary Exception,0,2.0,2845813.0,1422907.0,0,0,0,1,0,True,2023-24
Kyle Lowry,37,PHI,2024-02-13,Veteran Contract,MLE,0,1.0,2795839.0,2795839.0,1,0,0,0,0,True,2023-24
Spencer Dinwiddie,30,LAL,2024-02-10,Veteran Contract,MLE,0,1.0,1554655.0,1554655.0,1,1,0,0,0,True,2023-24
Bismack Biyombo,31,OKC,2024-02-10,Veteran Contract,Minimum Salary Exception,0,1.0,1194075.0,1194075.0,0,0,0,0,1,True,2023-24
Lindy Waters III,26,OKC,2024-02-09,Veteran Contract,Minimum Salary Exception,0,1.5,2963065.0,1481533.0,0,1,0,0,0,True,2023-24
Keon Ellis,24,SAC,2024-02-09,Veteran Contract,Room-MLE,0,2.5,5105710.0,1701903.0,0,1,0,0,0,True,2023-24
James Johnson,36,IND,2024-02-08,Veteran Contract,Minimum Salary Exception,0,1.0,1230816.0,1230816.0,0,0,1,1,0,True,2023-24
Vince Williams Jr.,23,MEM,2024-01-10,Veteran Contract,MLE,0,3.5,9144340.0,2286085.0,0,0,1,0,0,True,2023-24
Miles McBride,23,NYK,2023-12-30,Veteran Extension,Bird Exception,1,3.0,13000000.0,4333333.0,1,0,0,0,0,True,2023-24
Juan Toscano-Anderson,30,SAC,2023-12-15,Veteran Contract,Minimum Salary Exception,0,1.0,1517989.0,1517989.0,0,0,1,0,0,True,2023-24
Taj Gibson,38,NYK,2023-12-15,Veteran Contract,Minimum Salary Exception,0,1.0,2241188.0,2241188.0,0,0,0,1,1,True,2023-24
James Johnson,36,IND,2023-12-15,Veteran Contract,Minimum Salary Exception,0,1.0,2241188.0,2241188.0,0,0,1,1,0,True,2023-24
Daniel Theis,31,LAC,2023-11-17,Veteran Contract,Minimum Salary Exception,0,1.0,2179511.0,2179511.0,0,0,0,0,1,True,2023-24
Joshua Primo,20,LAC,2023-11-15,Veteran Contract,Minimum Salary Exception,0,2.0,3961311.0,1980656.0,0,1,0,0,0,True,2023-24
Skylar Mays,26,POR,2023-11-12,Veteran Contract,Minimum Salary Exception,0,1.0,1863879.0,1863879.0,1,1,0,0,0,True,2023-24
